Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Saddiq Bey,SF,23,DET,52,30,28.8,4.7,11.7,.404,1.9,5.6,.345,2.8,6.0,.460,.488,3.5,4.0,.861,1.1,3.5,4.7,1.6,1.0,0.2,1.0,1.7,14.8
Saddiq Bey,SF,23,ATL,24,6,25.6,4.3,9.3,.468,2.0,5.1,.402,2.3,4.2,.550,.579,1.0,1.2,.862,1.5,3.3,4.8,1.3,0.7,0.0,0.7,1.5,11.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khem Birch,C,30,TOR,20,0,8.1,1.0,1.6,.594,0.1,0.1,.500,0.9,1.5,.600,.609,0.2,0.3,.800,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,2.2
Goga Bitadze,C,23,TOT,37,1,11.8,1.8,3.3,.554,0.2,0.7,.231,1.6,2.6,.642,.579,0.6,1.1,.548,1.5,1.9,3.5,1.0,0.4,0.7,0.6,1.7,4.4
Goga Bitadze,C,23,IND,21,0,9.6,1.3,2.5,.519,0.2,0.7,.286,1.1,1.8,.605,.558,0.5,1.1,.458,1.2,1.1,2.3,0.9,0.4,0.5,0.6,1.6,3.3
Goga Bitadze,C,23,ORL,16,1,14.6,2.5,4.3,.580,0.1,0.8,.167,2.4,3.6,.667,.594,0.8,1.1,.667,2.0,3.0,5.0,1.3,0.4,1.0,0.6,1.8,5.9
Bismack Biyombo,C,30,PHO,61,14,14.3,2.0,3.4,.578,0.0,0.0,,2.0,3.4,.578,.578,0.4,1.1,.357,1.5,2.8,4.3,0.9,0.3,1.4,0.8,1.9,4.3
Buddy Boeheim,PG,23,DET,9,0,8.9,0.6,2.7,.208,0.4,2.4,.182,0.1,0.2,.500,.292,0.2,0.2,1.000,0.2,0.3,0.6,0.3,0.2,0.0,0.0,0.7,1.8
Bogdan Bogdanović,SG,30,ATL,54,9,27.9,5.1,11.3,.447,2.7,6.7,.406,2.4,4.6,.506,.566,1.2,1.4,.831,0.4,2.6,3.1,2.8,0.8,0.3,1.2,1.6,14.0
Bojan Bogdanović,PF,33,DET,59,59,32.1,7.3,14.9,.488,2.5,6.0,.411,4.8,9.0,.539,.570,4.5,5.1,.884,0.6,3.2,3.8,2.6,0.6,0.1,2.3,1.9,21.6
Bol Bol,PF,23,ORL,69,33,21.4,3.7,6.8,.552,0.4,1.6,.273,3.3,5.2,.638,.584,1.2,1.6,.766,1.0,4.8,5.8,0.9,0.4,1.2,1.6,1.3,9.1
Leandro Bolmaro,SG,22,UTA,14,0,4.9,0.2,1.4,.150,0.0,0.3,.000,0.2,1.1,.188,.150,0.0,0.0,,0.3,0.2,0.5,0.5,0.2,0.1,0.5,0.7,0.4
Devin Booker,SG,26,PHO,53,53,34.6,9.9,20.1,.494,2.1,6.0,.351,7.8,14.2,.554,.546,5.8,6.8,.855,0.9,3.7,4.5,5.5,1.0,0.3,2.7,3.0,27.8
Brandon Boston Jr.,SG,21,LAC,21,1,11.8,2.4,5.8,.421,0.6,1.4,.414,1.9,4.4,.424,.471,1.4,1.8,.763,0.3,1.0,1.4,0.9,0.4,0.0,0.6,1.0,6.8
